-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Latitude  28.56   Longitude -81.29 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 22.07 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
SZA                   CERES SYN1deg Solar Zenith Angle (Degrees) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,SZA,WS50M
2020,1,1,0,0.0,-999.0,6.29
2020,1,1,1,0.0,-999.0,6.19
2020,1,1,2,0.0,-999.0,5.85
2020,1,1,3,0.0,-999.0,5.57
2020,1,1,4,0.0,-999.0,5.69
2020,1,1,5,0.0,-999.0,5.96
2020,1,1,6,0.0,-999.0,6.17
2020,1,1,7,22.61,87.75,6.12
2020,1,1,8,181.21,77.37,4.89
2020,1,1,9,358.95,67.34,4.25
2020,1,1,10,499.23,59.13,3.96
2020,1,1,11,616.23,53.62,2.4
2020,1,1,12,616.81,51.67,1.74
2020,1,1,13,594.44,53.68,1.74
2020,1,1,14,513.84,59.25,1.89
2020,1,1,15,364.69,67.49,1.95
2020,1,1,16,176.95,77.55,1.92
2020,1,1,17,20.87,87.88,2.21
2020,1,1,18,0.0,-999.0,2.85
2020,1,1,19,0.0,-999.0,2.94
2020,1,1,20,0.0,-999.0,2.63
2020,1,1,21,0.0,-999.0,2.46
2020,1,1,22,0.0,-999.0,2.35
2020,1,1,23,0.0,-999.0,2.16
2020,1,2,0,0.0,-999.0,2.14
2020,1,2,1,0.0,-999.0,2.27
2020,1,2,2,0.0,-999.0,2.38
2020,1,2,3,0.0,-999.0,2.47
2020,1,2,4,0.0,-999.0,2.52
2020,1,2,5,0.0,-999.0,2.64
2020,1,2,6,0.0,-999.0,2.92
2020,1,2,7,20.27,87.77,3.25
2020,1,2,8,179.65,77.4,3.17
2020,1,2,9,367.1,67.34,2.66
2020,1,2,10,509.92,59.11,3.74
2020,1,2,11,599.92,53.56,4.18
2020,1,2,12,627.55,51.59,4.4
2020,1,2,13,587.66,53.57,4.73
2020,1,2,14,487.46,59.12,5.18
2020,1,2,15,342.84,67.36,5.34
2020,1,2,16,164.87,77.41,5.36
2020,1,2,17,19.68,87.79,6.29
2020,1,2,18,0.0,-999.0,7.11
2020,1,2,19,0.0,-999.0,7.71
2020,1,2,20,0.0,-999.0,8.04
2020,1,2,21,0.0,-999.0,8.23
2020,1,2,22,0.0,-999.0,8.15
2020,1,2,23,0.0,-999.0,8.04
2020,1,3,0,0.0,-999.0,7.93
2020,1,3,1,0.0,-999.0,7.86
2020,1,3,2,0.0,-999.0,7.74
2020,1,3,3,0.0,-999.0,7.66
2020,1,3,4,0.0,-999.0,7.64
2020,1,3,5,0.0,-999.0,7.64
2020,1,3,6,0.0,-999.0,7.6
2020,1,3,7,19.37,87.8,7.56
2020,1,3,8,96.21,77.42,6.39
2020,1,3,9,195.56,67.34,7.32
2020,1,3,10,278.77,59.09,8.2
2020,1,3,11,413.52,53.51,7.81
2020,1,3,12,510.14,51.49,7.4
2020,1,3,13,523.7,53.45,6.95
2020,1,3,14,433.79,58.98,6.45
2020,1,3,15,313.91,67.22,5.8
2020,1,3,16,160.77,77.27,5.05
2020,1,3,17,21.82,87.7,5.24
2020,1,3,18,0.0,-999.0,5.62
2020,1,3,19,0.0,-999.0,6.13
2020,1,3,20,0.0,-999.0,6.65
2020,1,3,21,0.0,-999.0,7.15
2020,1,3,22,0.0,-999.0,7.51
2020,1,3,23,0.0,-999.0,7.69
2020,1,4,0,0.0,-999.0,7.77
2020,1,4,1,0.0,-999.0,7.83
2020,1,4,2,0.0,-999.0,7.94
2020,1,4,3,0.0,-999.0,8.06
2020,1,4,4,0.0,-999.0,8.08
2020,1,4,5,0.0,-999.0,8.2
2020,1,4,6,0.0,-999.0,8.52
2020,1,4,7,17.23,87.82,8.65
2020,1,4,8,70.53,77.45,7.6
2020,1,4,9,181.98,67.34,9.34
2020,1,4,10,276.91,59.05,10.94
2020,1,4,11,129.8,53.44,11.41
2020,1,4,12,143.11,51.39,12.39
2020,1,4,13,167.97,53.32,13.35
2020,1,4,14,136.76,58.84,13.04
2020,1,4,15,114.85,67.07,11.81
2020,1,4,16,69.54,77.12,10.97
2020,1,4,17,17.95,87.61,9.08
2020,1,4,18,0.0,-999.0,8.68
2020,1,4,19,0.0,-999.0,8.81
2020,1,4,20,0.0,-999.0,9.15
2020,1,4,21,0.0,-999.0,9.94
2020,1,4,22,0.0,-999.0,10.85
2020,1,4,23,0.0,-999.0,11.78
2020,1,5,0,0.0,-999.0,11.61
2020,1,5,1,0.0,-999.0,10.58
2020,1,5,2,0.0,-999.0,10.02
2020,1,5,3,0.0,-999.0,8.88
2020,1,5,4,0.0,-999.0,8.47
2020,1,5,5,0.0,-999.0,8.18
2020,1,5,6,0.0,-999.0,7.85
2020,1,5,7,27.81,87.84,7.3
2020,1,5,8,213.95,77.46,7.08
2020,1,5,9,418.86,67.34,6.59
2020,1,5,10,577.35,59.02,5.58
2020,1,5,11,677.68,53.37,4.87
2020,1,5,12,712.45,51.28,4.49
2020,1,5,13,677.84,53.19,4.28
2020,1,5,14,577.84,58.7,4.21
2020,1,5,15,420.65,66.92,4.09
2020,1,5,16,219.09,76.98,3.92
2020,1,5,17,31.45,87.52,3.69
2020,1,5,18,0.0,-999.0,3.18
2020,1,5,19,0.0,-999.0,2.56
2020,1,5,20,0.0,-999.0,2.38
2020,1,5,21,0.0,-999.0,2.7
2020,1,5,22,0.0,-999.0,3.15
2020,1,5,23,0.0,-999.0,3.64
2020,1,6,0,0.0,-999.0,4.08
2020,1,6,1,0.0,-999.0,4.37
2020,1,6,2,0.0,-999.0,4.46
2020,1,6,3,0.0,-999.0,4.57
2020,1,6,4,0.0,-999.0,4.67
2020,1,6,5,0.0,-999.0,4.71
2020,1,6,6,0.0,-999.0,4.76
2020,1,6,7,25.95,87.85,4.94
2020,1,6,8,205.45,77.47,4.27
2020,1,6,9,406.62,67.32,3.28
2020,1,6,10,563.61,58.97,3.74
2020,1,6,11,664.44,53.28,3.28
2020,1,6,12,695.84,51.16,2.59
2020,1,6,13,661.29,53.05,1.93
2020,1,6,14,562.87,58.55,1.4
2020,1,6,15,407.82,66.77,1.0
2020,1,6,16,210.77,76.83,0.98
2020,1,6,17,30.35,87.41,1.58
2020,1,6,18,0.0,-999.0,2.23
2020,1,6,19,0.0,-999.0,2.84
2020,1,6,20,0.0,-999.0,3.32
2020,1,6,21,0.0,-999.0,3.67
2020,1,6,22,0.0,-999.0,3.75
2020,1,6,23,0.0,-999.0,3.42
2020,1,7,0,0.0,-999.0,2.93
2020,1,7,1,0.0,-999.0,2.69
2020,1,7,2,0.0,-999.0,2.4
2020,1,7,3,0.0,-999.0,1.88
2020,1,7,4,0.0,-999.0,2.5
2020,1,7,5,0.0,-999.0,3.72
2020,1,7,6,0.0,-999.0,4.6
2020,1,7,7,23.95,87.87,4.97
2020,1,7,8,194.58,77.47,4.27
2020,1,7,9,384.02,67.3,2.9
2020,1,7,10,536.23,58.91,3.71
2020,1,7,11,635.66,53.2,4.9
2020,1,7,12,663.16,51.05,5.14
2020,1,7,13,612.45,52.91,5.45
2020,1,7,14,461.16,58.39,5.95
2020,1,7,15,336.73,66.6,6.41
2020,1,7,16,183.62,76.67,6.35
2020,1,7,17,29.4,87.31,6.65
2020,1,7,18,0.0,-999.0,6.6
2020,1,7,19,0.0,-999.0,6.53
2020,1,7,20,0.0,-999.0,6.78
2020,1,7,21,0.0,-999.0,7.07
2020,1,7,22,0.0,-999.0,7.49
2020,1,7,23,0.0,-999.0,7.8
2020,1,8,0,0.0,-999.0,8.18
2020,1,8,1,0.0,-999.0,8.47
2020,1,8,2,0.0,-999.0,8.09
2020,1,8,3,0.0,-999.0,7.33
2020,1,8,4,0.0,-999.0,6.91
2020,1,8,5,0.0,-999.0,6.96
2020,1,8,6,0.0,-999.0,7.44
2020,1,8,7,24.52,87.88,7.48
2020,1,8,8,200.93,77.47,5.76
2020,1,8,9,405.7,67.27,5.26
2020,1,8,10,564.78,58.86,5.66
2020,1,8,11,669.83,53.1,5.02
2020,1,8,12,700.09,50.91,4.85
2020,1,8,13,667.1,52.75,4.99
2020,1,8,14,566.8,58.23,5.3
2020,1,8,15,396.75,66.44,5.72
2020,1,8,16,200.82,76.51,5.92
2020,1,8,17,26.83,87.21,6.49
2020,1,8,18,0.0,-999.0,7.0
2020,1,8,19,0.0,-999.0,6.9
2020,1,8,20,0.0,-999.0,6.69
2020,1,8,21,0.0,-999.0,6.58
2020,1,8,22,0.0,-999.0,6.77
2020,1,8,23,0.0,-999.0,7.12
2020,1,9,0,0.0,-999.0,7.58
2020,1,9,1,0.0,-999.0,8.08
2020,1,9,2,0.0,-999.0,8.58
2020,1,9,3,0.0,-999.0,8.98
2020,1,9,4,0.0,-999.0,9.05
2020,1,9,5,0.0,-999.0,9.38
2020,1,9,6,0.0,-999.0,9.73
2020,1,9,7,21.36,87.88,9.77
2020,1,9,8,188.3,77.46,9.2
2020,1,9,9,373.18,67.23,8.79
2020,1,9,10,528.71,58.79,10.81
2020,1,9,11,575.06,53.0,11.31
2020,1,9,12,569.59,50.78,11.23
2020,1,9,13,516.68,52.59,11.07
2020,1,9,14,469.4,58.05,10.93
2020,1,9,15,333.08,66.27,10.6
2020,1,9,16,184.35,76.34,9.84
2020,1,9,17,32.2,87.1,9.86
2020,1,9,18,0.0,-999.0,9.93
2020,1,9,19,0.0,-999.0,10.19
2020,1,9,20,0.0,-999.0,10.33
2020,1,9,21,0.0,-999.0,10.27
2020,1,9,22,0.0,-999.0,10.34
2020,1,9,23,0.0,-999.0,10.35
2020,1,10,0,0.0,-999.0,10.34
2020,1,10,1,0.0,-999.0,10.26
2020,1,10,2,0.0,-999.0,10.05
2020,1,10,3,0.0,-999.0,9.81
2020,1,10,4,0.0,-999.0,9.55
2020,1,10,5,0.0,-999.0,9.15
2020,1,10,6,0.0,-999.0,9.12
2020,1,10,7,19.03,87.88,9.07
2020,1,10,8,160.09,77.45,8.55
2020,1,10,9,321.8,67.2,8.6
2020,1,10,10,432.7,58.72,9.64
2020,1,10,11,563.97,52.89,9.6
2020,1,10,12,590.05,50.63,9.18
2020,1,10,13,412.4,52.43,8.92
2020,1,10,14,375.12,57.88,8.74
2020,1,10,15,283.51,66.1,8.61
2020,1,10,16,138.08,76.18,8.05
2020,1,10,17,25.44,86.98,8.29
2020,1,10,18,0.0,-999.0,8.54
2020,1,10,19,0.0,-999.0,8.67
2020,1,10,20,0.0,-999.0,8.99
2020,1,10,21,0.0,-999.0,9.07
2020,1,10,22,0.0,-999.0,8.8
2020,1,10,23,0.0,-999.0,8.78
2020,1,11,0,0.0,-999.0,9.32
2020,1,11,1,0.0,-999.0,9.04
2020,1,11,2,0.0,-999.0,8.38
2020,1,11,3,0.0,-999.0,8.32
2020,1,11,4,0.0,-999.0,8.14
2020,1,11,5,0.0,-999.0,8.08
2020,1,11,6,0.0,-999.0,8.21
2020,1,11,7,18.71,87.88,8.34
2020,1,11,8,101.91,77.42,7.78
2020,1,11,9,201.18,67.15,10.52
2020,1,11,10,260.96,58.64,13.16
2020,1,11,11,352.59,52.77,13.24
2020,1,11,12,397.65,50.48,12.67
2020,1,11,13,429.59,52.26,11.65
2020,1,11,14,303.47,57.7,10.52
2020,1,11,15,271.45,65.93,9.12
2020,1,11,16,158.45,76.02,8.03
2020,1,11,17,28.06,86.87,7.91
2020,1,11,18,0.0,-999.0,8.1
2020,1,11,19,0.0,-999.0,8.23
2020,1,11,20,0.0,-999.0,8.06
2020,1,11,21,0.0,-999.0,7.67
2020,1,11,22,0.0,-999.0,7.66
2020,1,11,23,0.0,-999.0,7.54
2020,1,12,0,0.0,-999.0,7.61
2020,1,12,1,0.0,-999.0,7.75
2020,1,12,2,0.0,-999.0,7.8
2020,1,12,3,0.0,-999.0,7.74
2020,1,12,4,0.0,-999.0,7.52
2020,1,12,5,0.0,-999.0,7.24
2020,1,12,6,0.0,-999.0,6.91
2020,1,12,7,20.84,87.88,6.69
2020,1,12,8,151.3,77.4,5.52
2020,1,12,9,295.67,67.09,6.43
2020,1,12,10,412.68,58.55,7.85
2020,1,12,11,469.1,52.65,7.55
2020,1,12,12,500.86,50.33,7.01
2020,1,12,13,481.98,52.08,6.61
2020,1,12,14,383.3,57.52,6.15
2020,1,12,15,285.73,65.75,5.43
2020,1,12,16,145.02,75.84,5.33
2020,1,12,17,26.43,86.75,6.18
2020,1,12,18,0.0,-999.0,6.93
2020,1,12,19,0.0,-999.0,7.08
2020,1,12,20,0.0,-999.0,7.08
2020,1,12,21,0.0,-999.0,7.06
2020,1,12,22,0.0,-999.0,7.02
2020,1,12,23,0.0,-999.0,7.06
2020,1,13,0,0.0,-999.0,7.46
2020,1,13,1,0.0,-999.0,7.32
2020,1,13,2,0.0,-999.0,7.16
2020,1,13,3,0.0,-999.0,7.01
2020,1,13,4,0.0,-999.0,6.88
2020,1,13,5,0.0,-999.0,6.9
2020,1,13,6,0.0,-999.0,6.76
2020,1,13,7,20.13,87.87,6.67
2020,1,13,8,179.01,77.37,5.56
2020,1,13,9,371.24,67.04,7.04
2020,1,13,10,517.66,58.46,7.76
2020,1,13,11,626.09,52.52,7.22
2020,1,13,12,649.94,50.16,6.7
2020,1,13,13,634.51,51.89,6.57
2020,1,13,14,543.27,57.34,6.55
2020,1,13,15,395.76,65.56,6.35
2020,1,13,16,206.61,75.66,6.03
2020,1,13,17,34.77,86.62,6.33
2020,1,13,18,0.0,-999.0,7.01
2020,1,13,19,0.0,-999.0,7.18
2020,1,13,20,0.0,-999.0,7.09
2020,1,13,21,0.0,-999.0,6.95
2020,1,13,22,0.0,-999.0,6.81
2020,1,13,23,0.0,-999.0,6.62
2020,1,14,0,0.0,-999.0,6.54
2020,1,14,1,0.0,-999.0,6.44
2020,1,14,2,0.0,-999.0,6.1
2020,1,14,3,0.0,-999.0,5.51
2020,1,14,4,0.0,-999.0,4.88
2020,1,14,5,0.0,-999.0,4.39
2020,1,14,6,0.0,-999.0,4.15
2020,1,14,7,21.4,87.85,4.28
2020,1,14,8,150.84,77.33,3.77
2020,1,14,9,294.48,66.97,4.48
2020,1,14,10,422.01,58.36,4.41
2020,1,14,11,478.77,52.38,3.92
2020,1,14,12,375.86,49.99,3.33
2020,1,14,13,384.01,51.7,2.58
2020,1,14,14,360.12,57.14,1.72
2020,1,14,15,263.18,65.38,1.01
2020,1,14,16,156.41,75.49,0.7
2020,1,14,17,33.61,86.5,1.78
2020,1,14,18,0.0,-999.0,3.0
2020,1,14,19,0.0,-999.0,3.92
2020,1,14,20,0.0,-999.0,4.66
2020,1,14,21,0.0,-999.0,5.24
2020,1,14,22,0.0,-999.0,5.53
2020,1,14,23,0.0,-999.0,5.43
2020,1,15,0,0.0,-999.0,5.34
2020,1,15,1,0.0,-999.0,5.27
2020,1,15,2,0.0,-999.0,4.92
2020,1,15,3,0.0,-999.0,4.48
2020,1,15,4,0.0,-999.0,4.24
2020,1,15,5,0.0,-999.0,4.29
2020,1,15,6,0.0,-999.0,4.4
2020,1,15,7,20.37,87.84,4.45
2020,1,15,8,166.76,77.28,4.02
2020,1,15,9,347.87,66.9,4.12
2020,1,15,10,481.72,58.26,3.91
2020,1,15,11,626.55,52.23,3.16
2020,1,15,12,663.89,49.81,2.36
2020,1,15,13,538.11,51.51,1.64
2020,1,15,14,480.3,56.95,1.01
2020,1,15,15,341.22,65.19,0.44
2020,1,15,16,185.69,75.31,0.3
2020,1,15,17,34.14,86.37,1.18
2020,1,15,18,0.0,-999.0,2.29
2020,1,15,19,0.0,-999.0,2.89
2020,1,15,20,0.0,-999.0,3.17
2020,1,15,21,0.0,-999.0,3.29
2020,1,15,22,0.0,-999.0,3.46
2020,1,15,23,0.0,-999.0,3.74
2020,1,16,0,0.0,-999.0,3.86
2020,1,16,1,0.0,-999.0,3.76
2020,1,16,2,0.0,-999.0,3.43
2020,1,16,3,0.0,-999.0,3.03
2020,1,16,4,0.0,-999.0,2.58
2020,1,16,5,0.0,-999.0,2.24
2020,1,16,6,0.0,-999.0,2.11
2020,1,16,7,21.06,87.82,2.14
2020,1,16,8,174.2,77.23,2.0
2020,1,16,9,354.2,66.82,2.46
2020,1,16,10,514.12,58.14,3.2
2020,1,16,11,618.48,52.09,3.6
2020,1,16,12,619.72,49.63,3.73
2020,1,16,13,555.75,51.3,3.8
2020,1,16,14,492.27,56.74,3.72
2020,1,16,15,369.01,64.99,3.66
2020,1,16,16,194.55,75.13,3.68
2020,1,16,17,33.42,86.23,3.74
2020,1,16,18,0.0,-999.0,4.11
2020,1,16,19,0.0,-999.0,4.6
2020,1,16,20,0.0,-999.0,5.13
2020,1,16,21,0.0,-999.0,5.39
2020,1,16,22,0.0,-999.0,5.41
2020,1,16,23,0.0,-999.0,5.84
2020,1,17,0,0.0,-999.0,6.72
2020,1,17,1,0.0,-999.0,7.73
2020,1,17,2,0.0,-999.0,8.21
2020,1,17,3,0.0,-999.0,8.86
2020,1,17,4,0.0,-999.0,9.44
2020,1,17,5,0.0,-999.0,9.62
2020,1,17,6,0.0,-999.0,9.41
2020,1,17,7,18.57,87.8,9.4
2020,1,17,8,157.97,77.18,8.76
2020,1,17,9,352.33,66.73,10.91
2020,1,17,10,502.68,58.02,12.06
2020,1,17,11,596.3,51.93,12.01
2020,1,17,12,581.59,49.44,11.92
2020,1,17,13,492.66,51.1,11.9
2020,1,17,14,446.66,56.53,11.94
2020,1,17,15,317.63,64.8,11.86
2020,1,17,16,179.06,74.95,11.38
2020,1,17,17,33.62,86.09,10.37
2020,1,17,18,0.0,-999.0,10.08
2020,1,17,19,0.0,-999.0,10.26
2020,1,17,20,0.0,-999.0,10.45
2020,1,17,21,0.0,-999.0,10.56
2020,1,17,22,0.0,-999.0,10.51
2020,1,17,23,0.0,-999.0,10.49
2020,1,18,0,0.0,-999.0,10.21
2020,1,18,1,0.0,-999.0,9.87
2020,1,18,2,0.0,-999.0,9.56
2020,1,18,3,0.0,-999.0,9.19
2020,1,18,4,0.0,-999.0,8.82
2020,1,18,5,0.0,-999.0,8.56
2020,1,18,6,0.0,-999.0,8.27
2020,1,18,7,22.78,87.77,8.19
2020,1,18,8,184.44,77.12,7.47
2020,1,18,9,364.04,66.65,8.6
2020,1,18,10,510.74,57.9,8.75
2020,1,18,11,496.93,51.77,8.14
2020,1,18,12,502.88,49.24,7.35
2020,1,18,13,522.78,50.88,6.55
2020,1,18,14,503.18,56.32,5.96
2020,1,18,15,321.55,64.59,5.62
2020,1,18,16,190.27,74.77,5.54
2020,1,18,17,36.91,85.95,6.23
2020,1,18,18,0.0,-999.0,7.26
2020,1,18,19,0.0,-999.0,7.65
2020,1,18,20,0.0,-999.0,7.68
2020,1,18,21,0.0,-999.0,7.56
2020,1,18,22,0.0,-999.0,7.61
2020,1,18,23,0.0,-999.0,7.85
2020,1,19,0,0.0,-999.0,8.04
2020,1,19,1,0.0,-999.0,8.02
2020,1,19,2,0.0,-999.0,7.92
2020,1,19,3,0.0,-999.0,7.69
2020,1,19,4,0.0,-999.0,7.29
2020,1,19,5,0.0,-999.0,6.68
2020,1,19,6,0.0,-999.0,6.14
2020,1,19,7,14.52,87.74,5.79
2020,1,19,8,115.61,77.05,4.72
2020,1,19,9,250.46,66.55,4.46
2020,1,19,10,392.45,57.77,7.14
2020,1,19,11,457.99,51.59,7.21
2020,1,19,12,411.84,49.04,7.06
2020,1,19,13,305.47,50.66,7.02
2020,1,19,14,289.59,56.11,7.11
2020,1,19,15,201.09,64.39,7.51
2020,1,19,16,121.95,74.58,7.81
2020,1,19,17,34.93,85.8,8.27
2020,1,19,18,0.0,-999.0,8.13
2020,1,19,19,0.0,-999.0,7.2
2020,1,19,20,0.0,-999.0,6.46
2020,1,19,21,0.0,-999.0,6.32
2020,1,19,22,0.0,-999.0,7.51
2020,1,19,23,0.0,-999.0,9.11
2020,1,20,0,0.0,-999.0,9.0
2020,1,20,1,0.0,-999.0,8.73
2020,1,20,2,0.0,-999.0,8.13
2020,1,20,3,0.0,-999.0,7.77
2020,1,20,4,0.0,-999.0,7.37
2020,1,20,5,0.0,-999.0,7.12
2020,1,20,6,0.0,-999.0,7.05
2020,1,20,7,24.84,87.71,7.31
2020,1,20,8,202.52,76.98,7.19
2020,1,20,9,409.06,66.45,6.5
2020,1,20,10,580.53,57.62,6.03
2020,1,20,11,693.88,51.41,5.84
2020,1,20,12,729.47,48.83,5.77
2020,1,20,13,706.45,50.45,5.82
2020,1,20,14,613.54,55.89,6.16
2020,1,20,15,461.64,64.19,6.65
2020,1,20,16,259.77,74.38,7.15
2020,1,20,17,55.67,85.66,7.63
2020,1,20,18,0.0,-999.0,8.12
2020,1,20,19,0.0,-999.0,7.98
2020,1,20,20,0.0,-999.0,7.62
2020,1,20,21,0.0,-999.0,7.2
2020,1,20,22,0.0,-999.0,7.22
2020,1,20,23,0.0,-999.0,7.74
2020,1,21,0,0.0,-999.0,8.04
2020,1,21,1,0.0,-999.0,7.97
2020,1,21,2,0.0,-999.0,7.79
2020,1,21,3,0.0,-999.0,7.54
2020,1,21,4,0.0,-999.0,7.47
2020,1,21,5,0.0,-999.0,7.38
2020,1,21,6,0.0,-999.0,7.85
2020,1,21,7,27.61,87.67,8.14
2020,1,21,8,213.69,76.9,9.09
2020,1,21,9,420.62,66.34,9.58
2020,1,21,10,589.19,57.48,9.14
2020,1,21,11,698.19,51.23,8.93
2020,1,21,12,730.63,48.62,9.22
2020,1,21,13,685.93,50.22,9.7
2020,1,21,14,615.38,55.66,10.33
2020,1,21,15,468.16,63.98,10.83
2020,1,21,16,261.41,74.2,11.02
2020,1,21,17,57.3,85.51,10.92
2020,1,21,18,0.0,-999.0,10.39
2020,1,21,19,0.0,-999.0,10.04
2020,1,21,20,0.0,-999.0,9.96
2020,1,21,21,0.0,-999.0,9.88
2020,1,21,22,0.0,-999.0,9.51
2020,1,21,23,0.0,-999.0,9.01
2020,1,22,0,0.0,-999.0,9.22
2020,1,22,1,0.0,-999.0,9.68
2020,1,22,2,0.0,-999.0,10.2
2020,1,22,3,0.0,-999.0,10.1
2020,1,22,4,0.0,-999.0,9.65
2020,1,22,5,0.0,-999.0,9.23
2020,1,22,6,0.0,-999.0,8.74
2020,1,22,7,24.27,87.63,7.99
2020,1,22,8,185.3,76.82,8.31
2020,1,22,9,357.23,66.23,8.53
2020,1,22,10,411.4,57.33,8.77
2020,1,22,11,444.59,51.04,9.43
2020,1,22,12,299.31,48.39,11.76
2020,1,22,13,277.7,49.98,11.47
2020,1,22,14,250.52,55.44,10.85
2020,1,22,15,197.41,63.77,10.06
2020,1,22,16,73.25,74.0,8.73
2020,1,22,17,32.99,85.35,8.28
2020,1,22,18,0.0,-999.0,7.99
2020,1,22,19,0.0,-999.0,7.86
2020,1,22,20,0.0,-999.0,7.62
2020,1,22,21,0.0,-999.0,7.4
2020,1,22,22,0.0,-999.0,6.97
2020,1,22,23,0.0,-999.0,6.75
2020,1,23,0,0.0,-999.0,6.85
2020,1,23,1,0.0,-999.0,6.97
2020,1,23,2,0.0,-999.0,6.99
2020,1,23,3,0.0,-999.0,7.25
2020,1,23,4,0.0,-999.0,7.65
2020,1,23,5,0.0,-999.0,7.73
2020,1,23,6,0.0,-999.0,7.58
2020,1,23,7,23.59,87.59,6.96
2020,1,23,8,116.45,76.73,5.73
2020,1,23,9,265.45,66.1,4.74
2020,1,23,10,415.88,57.17,5.84
2020,1,23,11,453.95,50.84,6.46
2020,1,23,12,414.55,48.16,6.07
2020,1,23,13,381.05,49.74,6.16
2020,1,23,14,233.69,55.2,6.68
2020,1,23,15,146.65,63.55,6.84
2020,1,23,16,89.21,73.8,6.37
2020,1,23,17,25.2,85.2,5.84
2020,1,23,18,0.0,-999.0,5.95
2020,1,23,19,0.0,-999.0,6.14
2020,1,23,20,0.0,-999.0,6.19
2020,1,23,21,0.0,-999.0,6.39
2020,1,23,22,0.0,-999.0,6.53
2020,1,23,23,0.0,-999.0,6.47
2020,1,24,0,0.0,-999.0,6.13
2020,1,24,1,0.0,-999.0,5.06
2020,1,24,2,0.0,-999.0,4.27
2020,1,24,3,0.0,-999.0,3.9
2020,1,24,4,0.0,-999.0,3.56
2020,1,24,5,0.0,-999.0,3.44
2020,1,24,6,0.0,-999.0,3.6
2020,1,24,7,20.73,87.54,4.02
2020,1,24,8,156.59,76.63,3.5
2020,1,24,9,337.55,65.98,3.93
2020,1,24,10,481.37,57.01,5.18
2020,1,24,11,525.21,50.63,5.1
2020,1,24,12,508.3,47.93,4.91
2020,1,24,13,428.02,49.5,4.78
2020,1,24,14,349.76,54.97,4.47
2020,1,24,15,235.92,63.34,4.03
2020,1,24,16,121.99,73.61,3.26
2020,1,24,17,36.64,85.03,2.5
2020,1,24,18,0.0,-999.0,2.51
2020,1,24,19,0.0,-999.0,3.18
2020,1,24,20,0.0,-999.0,4.01
2020,1,24,21,0.0,-999.0,4.77
2020,1,24,22,0.0,-999.0,5.01
2020,1,24,23,0.0,-999.0,5.42
2020,1,25,0,0.0,-999.0,5.87
2020,1,25,1,0.0,-999.0,6.32
2020,1,25,2,0.0,-999.0,6.91
2020,1,25,3,0.0,-999.0,7.38
2020,1,25,4,0.0,-999.0,7.31
2020,1,25,5,0.0,-999.0,7.03
2020,1,25,6,0.0,-999.0,6.72
2020,1,25,7,23.28,87.49,6.22
2020,1,25,8,189.68,76.53,6.12
2020,1,25,9,394.53,65.84,7.36
2020,1,25,10,567.11,56.84,7.1
2020,1,25,11,691.54,50.42,6.87
2020,1,25,12,744.61,47.69,6.69
2020,1,25,13,716.53,49.25,6.27
2020,1,25,14,473.76,54.73,5.64
2020,1,25,15,475.88,63.12,5.07
2020,1,25,16,276.69,73.41,4.67
2020,1,25,17,66.05,84.88,4.89
2020,1,25,18,0.0,-999.0,6.55
2020,1,25,19,0.0,-999.0,7.79
2020,1,25,20,0.0,-999.0,7.87
2020,1,25,21,0.0,-999.0,7.42
2020,1,25,22,0.0,-999.0,7.23
2020,1,25,23,0.0,-999.0,7.14
2020,1,26,0,0.0,-999.0,7.44
2020,1,26,1,0.0,-999.0,7.06
2020,1,26,2,0.0,-999.0,6.66
2020,1,26,3,0.0,-999.0,6.63
2020,1,26,4,0.0,-999.0,6.57
2020,1,26,5,0.0,-999.0,6.21
2020,1,26,6,0.0,-999.0,6.13
2020,1,26,7,25.45,87.44,5.69
2020,1,26,8,187.03,76.42,4.13
2020,1,26,9,404.65,65.71,4.85
2020,1,26,10,550.74,56.66,4.05
2020,1,26,11,666.48,50.21,3.24
2020,1,26,12,694.06,47.45,2.67
2020,1,26,13,625.36,48.99,2.57
2020,1,26,14,560.81,54.49,2.86
2020,1,26,15,427.34,62.9,3.27
2020,1,26,16,233.32,73.22,3.3
2020,1,26,17,49.04,84.7,3.34
2020,1,26,18,0.0,-999.0,3.33
2020,1,26,19,0.0,-999.0,2.95
2020,1,26,20,0.0,-999.0,2.58
2020,1,26,21,0.0,-999.0,2.28
2020,1,26,22,0.0,-999.0,2.04
2020,1,26,23,0.0,-999.0,1.88
2020,1,27,0,0.0,-999.0,1.56
2020,1,27,1,0.0,-999.0,1.43
2020,1,27,2,0.0,-999.0,1.23
2020,1,27,3,0.0,-999.0,0.59
2020,1,27,4,0.0,-999.0,0.66
2020,1,27,5,0.0,-999.0,1.44
2020,1,27,6,0.0,-999.0,1.93
2020,1,27,7,14.28,87.38,1.83
2020,1,27,8,71.53,76.31,1.66
